epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8615,1.71553,2.53958,1.54758,0.78959,0.23743,0.25332,0.11476,1.74148,2.25587,1.63078,0.000551887,0.000551887,0.000551887
2,61.1163,1.68645,1.98393,1.52665,0.74912,0.25419,0.23287,0.10017,1.77732,2.28997,1.6815,0.00108562,0.00108562,0.00108562
3,89.5825,1.70224,1.86597,1.54038,0.81808,0.25512,0.26327,0.12,1.8386,2.35073,1.68826,0.00159736,0.00159736,0.00159736
4,118.361,1.68016,1.76361,1.53177,0.81406,0.26164,0.29172,0.14143,1.7769,1.81725,1.71246,0.00156798,0.00156798,0.00156798
5,147.03,1.6252,1.67631,1.51401,0.86394,0.30386,0.35136,0.17584,1.65832,1.75156,1.60802,0.00153497,0.00153497,0.00153497
6,175.603,1.58925,1.62653,1.47638,0.85848,0.31378,0.34797,0.18086,1.68429,1.62699,1.61309,0.00150197,0.00150197,0.00150197
7,204.566,1.58728,1.59757,1.47705,0.84565,0.31378,0.32308,0.16454,1.60545,1.86654,1.61045,0.00146896,0.00146896,0.00146896
8,233.61,1.55063,1.53514,1.45172,0.8664,0.32216,0.33419,0.17563,1.5973,1.59095,1.57125,0.00143595,0.00143595,0.00143595
9,262.442,1.53474,1.50936,1.4521,0.8713,0.32775,0.3665,0.20516,1.55332,1.50037,1.53395,0.00140295,0.00140295,0.00140295
10,291.152,1.51898,1.47777,1.44023,0.84208,0.33482,0.35639,0.18871,1.6248,1.52587,1.57256,0.00136994,0.00136994,0.00136994
11,319.896,1.49854,1.4325,1.41605,0.81274,0.52402,0.53904,0.32816,1.62189,1.61698,1.57558,0.00133693,0.00133693,0.00133693
12,348.72,1.4728,1.41283,1.41027,0.8409,0.54687,0.56734,0.32637,1.58271,1.2942,1.57304,0.00130393,0.00130393,0.00130393
13,377.645,1.45568,1.3665,1.39081,0.67768,0.47274,0.4755,0.24429,1.52021,1.44356,1.50339,0.00127092,0.00127092,0.00127092
14,407.004,1.46392,1.3704,1.39816,0.34497,0.4892,0.39106,0.22362,1.51111,1.35602,1.47563,0.00123791,0.00123791,0.00123791
15,435.873,1.42729,1.33211,1.37688,0.83893,0.53231,0.55339,0.32678,1.57289,1.37475,1.52067,0.00120491,0.00120491,0.00120491
16,464.741,1.41006,1.30196,1.36468,0.83289,0.49955,0.55834,0.37488,1.52348,1.34179,1.49605,0.0011719,0.0011719,0.0011719
17,493.387,1.38626,1.29018,1.35381,0.72213,0.45754,0.50852,0.32368,1.47094,1.35798,1.46169,0.00113889,0.00113889,0.00113889
18,522.058,1.40006,1.26966,1.34577,0.6553,0.57989,0.58431,0.35445,1.47764,1.273,1.46634,0.00110589,0.00110589,0.00110589
19,612.712,1.37418,1.25714,1.34117,0.76624,0.52392,0.57969,0.37461,1.4952,1.2963,1.47684,0.00107288,0.00107288,0.00107288
20,3323.28,1.37592,1.23907,1.33765,0.69649,0.42588,0.49379,0.30449,1.54748,1.24474,1.50972,0.00103987,0.00103987,0.00103987
21,3362.31,1.34379,1.20549,1.31912,0.89148,0.54038,0.61219,0.40197,1.53591,1.20408,1.49339,0.00100687,0.00100687,0.00100687
22,3390.89,1.36061,1.20933,1.33259,0.70667,0.50875,0.58745,0.36769,1.48998,1.17666,1.42536,0.000973861,0.000973861,0.000973861
23,3419,1.35004,1.18443,1.3288,0.82852,0.58912,0.65506,0.42561,1.44104,1.17177,1.45408,0.000940855,0.000940855,0.000940855
24,3447.34,1.33558,1.1819,1.31784,0.72316,0.43985,0.50356,0.30601,1.48952,1.20607,1.45399,0.000907848,0.000907848,0.000907848
25,3475.82,1.31534,1.17718,1.30271,0.71884,0.43333,0.5489,0.36256,1.41174,1.19919,1.42996,0.000874842,0.000874842,0.000874842
26,3504.33,1.2987,1.12754,1.28849,0.53854,0.614,0.55551,0.36575,1.45221,1.1611,1.43481,0.000841835,0.000841835,0.000841835
27,3532.68,1.28717,1.12062,1.28966,0.67594,0.7041,0.65287,0.41413,1.43953,1.1029,1.44314,0.000808828,0.000808828,0.000808828
28,3561.2,1.27405,1.1189,1.27695,0.87079,0.54449,0.63159,0.42636,1.46158,1.12774,1.4615,0.000775822,0.000775822,0.000775822
29,3589.77,1.2582,1.08734,1.27521,0.51314,0.72159,0.57913,0.38438,1.42857,1.18389,1.43846,0.000742815,0.000742815,0.000742815
30,3618.86,1.2547,1.07591,1.26953,0.89525,0.56321,0.64995,0.43173,1.45401,1.09077,1.45773,0.000709809,0.000709809,0.000709809
31,3648.08,1.25579,1.07547,1.26314,0.84062,0.60284,0.60372,0.39478,1.40802,1.06783,1.42427,0.000676802,0.000676802,0.000676802
32,3676.87,1.23015,1.05156,1.25131,0.89126,0.55128,0.62132,0.421,1.41014,1.11268,1.43707,0.000643795,0.000643795,0.000643795
